Operation,File Size,Worker Count,Success,Failed,Avg Time (s),Avg Throughput (bytes/s)
UPLOAD,10MB,1,0,1,0,0
UPLOAD,10MB,5,0,5,0,0
UPLOAD,10MB,10,0,10,0,0
UPLOAD,50MB,1,0,1,0,0
UPLOAD,50MB,5,0,5,0,0
UPLOAD,50MB,10,0,10,0,0
UPLOAD,100MB,1,0,1,0,0
UPLOAD,100MB,5,0,5,0,0
UPLOAD,100MB,10,0,10,0,0
DOWNLOAD,10MB,1,0,1,0,0
DOWNLOAD,10MB,5,0,5,0,0
DOWNLOAD,10MB,10,0,10,0,0
DOWNLOAD,50MB,1,0,1,0,0
DOWNLOAD,50MB,5,0,5,0,0
DOWNLOAD,50MB,10,0,10,0,0
DOWNLOAD,100MB,1,0,1,0,0
DOWNLOAD,100MB,5,0,5,0,0
DOWNLOAD,100MB,10,0,10,0,0
